,Ballot Submission,,,,,,,,,,,,,,,,,,Triage & Committee Resolution,,,,,,,,,,,,,,,,Ballot Comment Tracking,,,,,,,
"Comment 
Number",Ballot,Chapter,Section,Page #,Line #,Artifact ID,Resource(s),HTML Page name(s),URL,Vote and Type,Sub-category,Tracker #,Pubs,Existing Wording,Proposed Wording,Ballot Comment,Summary,In person resolution requested,Comment grouping,Schedule,Triage Note,Disposition WG,Disposition,"Disposition Comment
or
Retract/Withdraw details",Disposition/Retract/ Withdrawal Date,Mover / seconder,For ,Against,Abstain,Retracted / Withdrawn,Disposition External Organization,Responsible Person,Change Applied,Substantive Change,Submitted By,Organization,On behalf of,Commenter Email,Submitter Tracking ID,Referred To,Received From,Notes
1,Data Access Framework (DAF),,DAF-Core Vital Signs Details Profile,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-vitalsigns.html,NEG,Clarification,,,,,"Inhaled oxygen concentration is listed as a required vital sign in the 2015 Edition CCDS, however, it is not listed in the minimum set of vital signs.",Missing CCDS required vital sign,,,,,FHIR Infrastructure,,Oxygen saturation 59408-5 is included in the specification.,,,,,,,,,,,Brian Scheller ,,Brian Scheller ,,,,,
2,Data Access Framework (DAF),,General Comment,,,,,(profiles),,A-S,Clarification,,,,,"Mayo Clinic encourages HL7 to align with the Office of the National Coordinator (ONC) for best available vocabulary standards and, where possible, draw from existing terminologies with well established policies and procedures for maintaining, versioning, and distributing terminologies.",Align with ONC vocabulary standards,,Ready-for-Vote,,,FHIR Infrastructure,Considered - No action required,Agree.,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
3,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings ,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-allergyintolerance.html,NEG,Correction,,,AllergyIntolerance.language Common Languages extensible Common Languages,,"Mayo Clinic recommends ISO 639-3 as the vocabulary standard for language and has experience implementing it in a healthcare organization that serves a large and diverse patient population. Neither ISO 639-1 nor ISO 639-2 provide comprehensive coverage of Mayo Clinic's preferred language value set. Conversely, BCP-47 (RFC 5646) adds an unncessary level of complexity with regional extensions and additional tags for dialects. Mayo Clinic supports the creation of a defined value set using ISO 639-3 codes with an extensible conformance strength.
Note: This comment is intended for all DAF profiles where this value set is specified.",Drawing from BCP-47 for Common Languages Value Set creates complexity for implementers.,,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
4,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings ,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-allergyintolerance.html,NEG,Correction,,,AllergyIntolerance.status AllergyIntoleranceStatus required AllergyIntoleranceStatus,,"Mayo Clinic recommends adding the concept ""proposed"" to the required value set. Since this is a mandatory requirement, ""proposed"" is needed in the value set when an allergy has not beeen confirmed.","Required value set is missing ""proposed"" concept",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
5,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings ,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-allergyintolerance.html,NEG,Correction,,,AllergyIntolerance.type AllergyIntoleranceType required AllergyIntoleranceType,,"Mayo Clinic recommends adding the concepts ""other"" and ""unknown"" to the required value set. ""Other"" is needed for cases such as drug toxicity. ""Unknown"" would be used when an allergen has not yet been identified (e.g., pending results).","Required value set is missing ""other"" and ""unknown"" concepts",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
6,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings ,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-allergyintolerance.html,NEG,Correction,,,AllergyIntolerance.category AllergyIntoleranceCategory required AllergyIntoleranceCategory,,"Mayo Clinic recommends the use of SNOMED CT for the Allergy Intolerance Category Value Set and proposes the following SNOMED CT concepts be included in the value set. ""Other"" is needed in the required value set when an allergen does not fall into one of the other categories.
Food allergy (414285001)
Drug allergy (416098002)
Environmental allergy (426232007)
Adverse reaction to biological substance (446994009)
Other (74964007)",SNOMED CT provides representation of required value set,,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
7,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-condition.html,NEG,Correction,,,Condition.clinicalStatus Condition Clinical Status Codes required Condition Clinical Status Codes,,"Mayo Clinic recommends adding the concept ""entered-in-error"" to the required value set for situations where a condition was added in error. This is similar to the http://hl7.org/fhir/allergy-intolerance-status.","Required value set is missing ""entered-in-error"" concept",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
8,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-resultobs.html,NEG,Correction,,,Observation.interpretation Observation Interpretation Codes extensible Observation Interpretation Codes,,"Mayo Clinic supports the value set conformance change from required to extensible. This will accommodate Mayo's Cerner instance which include ""Interval"" and ""Delta.""",Support required value set conformance change to extensible,,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
9,Data Access Framework (DAF),,D.4.1.2 Terminology Bindings,,,,,(profiles),http://hl7.org/FHIR/us/daf/2016Sep/daf-core-patient.html,NEG,Correction,,,Patient.extension.valueCodeableConcept v3 Code System Race required v3 Code System Race,,"Mayo Clinic recommends alignment with 2015 Edition ONC Final Rule. CDC Race and Ethnicity, not HL7 V3 Race, is specified as the vocabulary standard as well as the ability for a patient to decline to specify a race. Mayo Clinic also recommends alignment with us-core-ethnicity in using ""Unknown and ""Asked but unknown"" as null values in the value set.","MU specifies CDC Race & Ethnicity, not v3, for representing race. Null flavors should be included and align with us-core-ethnicity.",,,,,FHIR Infrastructure,,,,,,,,,,,,,Calvin Beebe ,,Calvin Beebe ,,,,,
