"start","tracker_item_id","change_date","field_name","old_value","new_value"
"===",2839,"2014-01-19 16:03:05.428372+00","_created_","","FamilyHistory needs ""date"""
"===",2839,"2014-01-22 15:39:53.623882+00","Waiting For","Assignee(s)","None"
"===",2839,"2014-01-22 15:39:53.623882+00","assignee","None","Lloyd McKenzie"
"===",2839,"2014-01-22 15:39:53.623882+00","assignee","Nobody ","Removed"
"===",2839,"2014-01-22 15:39:53.623882+00","status","Submitted","Reviewed"
"===",2839,"2014-01-22 15:39:53.623882+00","reviewingworkgroups","None","Clinical Genomics,Patient Care"
"===",2839,"2014-05-05 05:48:01.556733+00","resources","None","FamilyHistory"
"===",2839,"2014-05-05 05:48:01.556733+00","reviewingworkgroup68","Patient Care,Clinical Genomics","Patient Care,Clinical Genomics"
"===",2839,"2014-05-20 17:00:59.681732+00","status","Triaged","Approved"
"===",2839,"2014-05-20 17:00:59.681732+00","reviewingworkgroup68","Patient Care,Clinical Genomics","Patient Care,Clinical Genomics"
"===",2839,"2014-05-20 17:00:59.681732+00","resources64","FamilyHistory","FamilyHistory"
"===",2839,"2014-06-11 04:55:22.611482+00","status","Approved","Applied"
"===",2839,"2014-06-11 04:55:22.611482+00","reviewingworkgroup68","Patient Care,Clinical Genomics","Patient Care,Clinical Genomics"
"===",2839,"2014-06-11 04:55:22.611482+00","resources64","FamilyHistory","FamilyHistory"
"===",2839,"2014-10-15 10:36:00.342051+00","close_date","","2014-10-15 21:36:00"
"===",2839,"2014-10-15 10:36:00.342051+00","backwardcompatible45","None","Yes"
"===",2839,"2014-10-15 10:36:00.342051+00","reviewingworkgroup67","Patient Care,Clinical Genomics","Patient Care,Clinical Genomics"
"===",2839,"2014-10-15 10:36:00.342051+00","resources","FamilyHistory","FamilyHistory"
"===",2839,"2014-10-15 10:36:00.342051+00","status_id","1","0"
"===",2840,"2014-01-21 15:20:57.651089+00","_created_","","Address can't differentiate physical and postal"
"===",2840,"2014-01-22 15:41:18.314715+00","Waiting For","Assignee(s)","None"
"===",2840,"2014-01-22 15:41:18.314715+00","assignee","None","Grahame Grieve"
"===",2840,"2014-01-22 15:41:18.314715+00","assignee","Nobody ","Removed"
"===",2840,"2014-01-22 15:41:18.314715+00","reviewingworkgroups","None","FHIR Core Team,Modeling &amp; Methodology"
"===",2840,"2014-01-22 15:41:18.314715+00","status","Submitted","Reviewed"
"===",2840,"2014-02-03 22:19:45.453625+00","reviewingworkgroups","FHIR Core Team,Modeling &amp; Methodology","FHIR Core Team,Modeling &amp; Methodology"
"===",2840,"2014-02-03 23:28:31.391679+00","reviewingworkgroups","FHIR Core Team,Modeling &amp; Methodology","FHIR Core Team,Modeling &amp; Methodology"
"===",2840,"2014-05-05 05:41:40.070777+00","resources","None","Data Type"
"===",2840,"2014-05-05 05:41:40.070777+00","reviewingworkgroup68","Modeling &amp; Methodology,FHIR Core Team","Modeling &amp; Methodology,FHIR Core Team"
"===",2840,"2014-05-05 07:10:59.22731+00","reviewingworkgroup68","Modeling &amp; Methodology,FHIR Core Team","Modeling &amp; Methodology,FHIR Core Team"
"===",2840,"2014-05-05 07:10:59.22731+00","resources","Data Type","Data Type"
"===",2840,"2014-05-05 07:10:59.22731+00","htmlpage","None","datatypes"
"===",2840,"2014-05-05 07:11:21.570758+00","reviewingworkgroup68","Modeling &amp; Methodology,FHIR Core Team","Modeling &amp; Methodology,FHIR Core Team"
"===",2840,"2014-05-05 07:11:21.570758+00","htmlpage","datatypes","datatypes"
"===",2840,"2014-05-05 15:56:01.403423+00","reviewingworkgroup68","Modeling &amp; Methodology,FHIR Core Team","Modeling &amp; Methodology"
"===",2840,"2014-05-05 15:56:01.403423+00","htmlpage","datatypes","datatypes"
"===",2840,"2014-05-08 17:37:21.914724+00","htmlpage","datatypes","datatypes"
"===",2840,"2014-05-08 17:37:21.914724+00","status","Triaged","Waiting for Input"
"===",2840,"2014-05-08 17:37:21.914724+00","reviewingworkgroup68","Modeling &amp; Methodology","Modeling &amp; Methodology"
