"start","tracker_item_id","comment_date","comment","submitted_by"
"===",2839,"2014-05-20 17:00:59.681732+00","<p>
On the Clinical Genomics's weekly conference call on 2014-05-20, the change proposal was reviewed and approved as is.</p>
",2951
"===",2840,"2014-02-03 22:19:45.453625+00","<p>
in v3 data types, the address is *postal address* only, though it nicely also has PHYS/PST codes.</p>

<p>
In FHIR, there's a location resource for physical location, which does have an address, and which is how the requirement should be dealt with. Otherwise, I very much doubt that PHYS/PST is 80% for address</p>
",150
"===",2840,"2014-02-03 23:28:31.391679+00","<p>
The question came about with respect to the Location resource actually.  Locations can also have mailing addresses and it wasn't clear how to represent this.</p>
",105
"===",2840,"2014-05-08 17:37:21.914724+00","<p>
Want Grahame's feedback here</p>
",105
"===",2840,"2014-11-27 17:42:03.904739+00","<p>
I'm nt very enthusiastic about adding this as a code to Address. It sounds like an element on location to me. Or an extension</p>
",150
"===",2840,"2015-03-15 20:36:56.076699+00","<p>
Proposal - element on location.</p>
",150
"===",2841,"2014-02-03 22:24:20.047321+00","<p>
&lt;fhirVersion value=""0.80""/&gt;. see <a href=""http://hl7.org/implement/standards/fhir/conformance-base.xml.html"">http://hl7.org/implement/standards/fhir/conformance-base.xml.html</a></p>
",150
"===",2841,"2014-02-03 23:00:50.078785+00","<p>
Two points to clarify then:</p>

<p>
1. Does Conformance.fhirVersion follow the same rules as Profile.fhirVersion</p>

<p>
2. What are those rules?</p>

<p>
e.g. I see other examples like:</p>

<p>
""0.12-2143"" (<a href=""http://fhir.healthintersections.com.au/open/metadata?_format=json"">http://fhir.healthintersections.com.au/open/metadata</a>)</p>

<p>
""0.12"" (<a href=""http://spark.furore.com/fhir/metadata"">http://spark.furore.com/fhir/metadata</a>)</p>

<p>
Do these follow some kind of grammar? Do they correspond to something in the normative text of the spec itself (produced by the publish tool)? Are these two values comparable? Equal? What's the algorithm?</p>
",2904
"===",2841,"2014-05-07 23:52:28.359271+00","<p>
Once the exact versioning scheme of FHIR is determined, we need to point from this dataelement to the page where this is documented, so it's clear how to populate this element.</p>

<p>
 </p>
",2529
"===",2841,"2014-10-13 05:19:43.794934+00","<p>
Applied SVN 2987. </p>
",150
"===",2842,"2014-02-03 22:52:19.08959+00","<p>
<a href=""http://hl7.org/fhir-develop"">http://hl7.org/fhir-develop</a></p>
",150
