"start","tracker_item_id","field_name","field_type","field_data","tracker_extra_field_id"
"===",2839,"Status",7,"13093",2415
"===",2839,"Ballot Resolution",1,"100",3969
"===",2839,"Pre-applied?",3,"100",3910
"===",2839,"Backward Compatible?",1,"14308",3847
"===",2839,"url",4,"",3842
"===",2839,"Category",1,"13099",3626
"===",2839,"Reviewing Work Group(s)",5,"13106",3628
"===",2839,"Reviewing Work Group(s)",5,"13116",3628
"===",2839,"Resource(s)",5,"14053",3807
"===",2839,"HTML Page",5,"100",3808
"===",2839,"Section number",4,"",3631
"===",2839,"Target release",8,"100",3632
"===",2839,"Agreed change",6,"",3633
"===",2839,"Reason",6,"",3634
"===",2839,"For WGM Review by",1,"100",3911
"===",2840,"Status",7,"13091",2415
"===",2840,"Ballot Resolution",1,"15335",3969
"===",2840,"Pre-applied?",3,"100",3910
"===",2840,"Backward Compatible?",1,"100",3847
"===",2840,"url",4,"",3842
"===",2840,"Category",1,"13099",3626
"===",2840,"Reviewing Work Group(s)",5,"13113",3628
"===",2840,"Resource(s)",5,"100",3807
"===",2840,"HTML Page",5,"14096",3808
"===",2840,"Section number",4,"",3631
"===",2840,"Target release",8,"100",3632
"===",2840,"Agreed change",6,"&lt;p&gt;
I&amp;#39;m nt very enthusiastic about adding this as a code to Address. It sounds like an element on location to me. Or an extension&lt;/p&gt;

&lt;p&gt;
Proposal - element on location&lt;/p&gt;

&lt;p&gt;
2015/03/19 MnM/FHIR Block Vote: Austin/Gordy 5-0-0&lt;/p&gt;
",3633
"===",2840,"Reason",6,"",3634
"===",2840,"For WGM Review by",1,"14707",3911
"===",2841,"Status",7,"13093",2415
"===",2841,"Ballot Resolution",1,"100",3969
"===",2841,"Pre-applied?",3,"100",3910
"===",2841,"Backward Compatible?",1,"14308",3847
"===",2841,"url",4,"",3842
"===",2841,"Category",1,"13099",3626
"===",2841,"Reviewing Work Group(s)",5,"13108",3628
"===",2841,"Reviewing Work Group(s)",5,"13121",3628
"===",2841,"Resource(s)",5,"14077",3807
"===",2841,"HTML Page",5,"100",3808
"===",2841,"Section number",4,"",3631
"===",2841,"Target release",8,"1071",3632
"===",2841,"Agreed change",6,"",3633
"===",2841,"Reason",6,"",3634
"===",2841,"For WGM Review by",1,"100",3911
"===",2842,"Status",7,"13093",2415
"===",2842,"Ballot Resolution",1,"100",3969
"===",2842,"Pre-applied?",3,"100",3910
"===",2842,"Backward Compatible?",1,"14308",3847
"===",2842,"url",4,"",3842
"===",2842,"Category",1,"13099",3626
"===",2842,"Reviewing Work Group(s)",5,"13123",3628
"===",2842,"Resource(s)",5,"100",3807
"===",2842,"HTML Page",5,"14135",3808
"===",2842,"Section number",4,"",3631
"===",2842,"Target release",8,"100",3632
"===",2842,"Agreed change",6,"",3633
"===",2842,"Reason",6,"",3634
"===",2842,"For WGM Review by",1,"100",3911
"===",2853,"Status",7,"13093",2415
"===",2853,"Ballot Resolution",1,"100",3969
"===",2853,"Pre-applied?",3,"100",3910
"===",2853,"Backward Compatible?",1,"14308",3847
"===",2853,"url",4,"",3842
"===",2853,"Category",1,"13098",3626
"===",2853,"Reviewing Work Group(s)",5,"13111",3628
"===",2853,"Resource(s)",5,"14049",3807
"===",2853,"HTML Page",5,"100",3808
"===",2853,"Section number",4,"",3631
"===",2853,"Target release",8,"1071",3632
"===",2853,"Agreed change",6,"&lt;p&gt;
* Add narrative to the place where the serialization of extensions is described (or the serialization of contained resources), that extensions on the &amp;#39;contained&amp;#39;&amp;nbsp;element are&amp;nbsp;not allowed.&lt;/p&gt;

&lt;p&gt;
* Change the schema so it does not allow &amp;lt;extension&amp;gt; anymore on the &amp;lt;contained&amp;gt; element.&lt;/p&gt;

&lt;p&gt;
&amp;nbsp;&lt;/p&gt;

&lt;p&gt;
Votes: Mark Tucker, Brian Pech &amp;nbsp; 25/0/0&lt;/p&gt;

&lt;p&gt;
&amp;nbsp;&lt;/p&gt;
",3633
"===",2853,"Reason",6,"",3634
"===",2853,"For WGM Review by",1,"100",3911
"===",2854,"Status",7,"13093",2415
"===",2854,"Ballot Resolution",1,"100",3969
"===",2854,"Pre-applied?",3,"100",3910
"===",2854,"Backward Compatible?",1,"14308",3847
"===",2854,"url",4,"",3842
"===",2854,"Category",1,"13098",3626
"===",2854,"Reviewing Work Group(s)",5,"14030",3628
"===",2854,"Resource(s)",5,"14049",3807
"===",2854,"HTML Page",5,"100",3808
"===",2854,"Section number",4,"",3631
"===",2854,"Target release",8,"100",3632
"===",2854,"Agreed change",6,"",3633
"===",2854,"Reason",6,"",3634
"===",2854,"For WGM Review by",1,"100",3911
"===",2855,"Status",7,"13093",2415
"===",2855,"Ballot Resolution",1,"100",3969
"===",2855,"Pre-applied?",3,"100",3910
"===",2855,"Backward Compatible?",1,"14308",3847
"===",2855,"url",4,"",3842
"===",2855,"Category",1,"13098",3626
"===",2855,"Reviewing Work Group(s)",5,"13108",3628
"===",2855,"Reviewing Work Group(s)",5,"14030",3628
"===",2855,"Resource(s)",5,"100",3807
"===",2855,"HTML Page",5,"14134",3808
